Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Disease
Joint Pain,Loss of Smell,Fatigue,Abdominal Pain,Dizziness,Swollen Lymph Nodes,Runny Nose,Hypotension
Rapid Heart Rate,Difficulty Swallowing,Blurred Vision,Vomiting,High Blood Pressure,Skin Peeling,Chills,Unknown
Low Blood Pressure,Cough,Blurred Vision,Muscle Pain,Shortness of Breath,Loss of Smell,Rapid Heart Rate,Unknown
Shortness of Breath,Chills,Abdominal Pain,Cough,Muscle Pain,Sweating,Low Blood Pressure,Cold
Runny Nose,Vomiting,Fatigue,Confusion,Fever,Cough,Diarrhea,Typhoid
Sweating,Sore Throat,Dizziness,Joint Pain,Runny Nose,Weakness,Vomiting,Unknown
Skin Peeling,Ear Pain,Loss of Taste,High Blood Pressure,Difficulty Swallowing,Low Blood Pressure,Loss of Smell,Unknown
Vomiting,Difficulty Swallowing,Weakness,Diarrhea,Loss of Taste,Ear Pain,Shortness of Breath,COVID-19
Rapid Heart Rate,Swollen Lymph Nodes,Nausea,Loss of Smell,Cough,Chest Pain,High Blood Pressure,Strep Throat
Ear Pain,Abdominal Pain,Chills,Loss of Appetite,Fatigue,Joint Pain,Vomiting,Malaria
Joint Pain,Fever,Weakness,Runny Nose,Skin Peeling,Fatigue,Swollen Lymph Nodes,Hypotension
Loss of Taste,Chest Pain,Runny Nose,Shortness of Breath,Difficulty Swallowing,Swollen Lymph Nodes,High Blood Pressure,Cold
Rash,Weakness,Chest Pain,Sore Throat,Rapid Heart Rate,Dizziness,Vomiting,Cold
Cough,Low Blood Pressure,Headache,Muscle Pain,Abdominal Pain,Fatigue,Shortness of Breath,Dengue
Skin Redness,Rash,Fatigue,Ear Pain,Difficulty Swallowing,Cough,Runny Nose,Unknown
Cough,Sore Throat,Sweating,Fever,Joint Pain,Skin Peeling,High Blood Pressure,Hypertension
Rash,Shortness of Breath,Loss of Taste,Headache,Dizziness,Joint Pain,Skin Redness,Pneumonia
Swollen Lymph Nodes,Loss of Appetite,Skin Redness,Fatigue,Ear Pain,Skin Peeling,Weakness,Food Poisoning
Nausea,Fever,Swollen Lymph Nodes,Loss of Taste,Confusion,Skin Redness,Joint Pain,Migraine
Abdominal Pain,Ear Pain,Headache,Nausea,Muscle Pain,Runny Nose,Blurred Vision,Unknown
Fever,Runny Nose,Sore Throat,Nausea,Skin Redness,Confusion,Ear Pain,Cold
Rash,Vomiting,Swollen Lymph Nodes,Loss of Smell,Nausea,Difficulty Swallowing,Abdominal Pain,Ear Infection
Low Blood Pressure,Confusion,Blurred Vision,Diarrhea,Muscle Pain,Fatigue,Loss of Smell,Unknown
Headache,Sweating,Vomiting,Diarrhea,Loss of Smell,Skin Peeling,High Blood Pressure,COVID-19
Shortness of Breath,Skin Redness,Diarrhea,Rash,Cough,Vomiting,Sore Throat,Pneumonia
Confusion,Sweating,Muscle Pain,Skin Redness,Rapid Heart Rate,Headache,Loss of Smell,Scarlet Fever
Difficulty Swallowing,Chills,Cough,Fever,Ear Pain,Muscle Pain,Joint Pain,Typhoid
Chills,Cough,Rash,Loss of Taste,Sore Throat,Sweating,Skin Redness,Dengue
Difficulty Swallowing,Diarrhea,Rapid Heart Rate,High Blood Pressure,Sore Throat,Dizziness,Loss of Appetite,Flu
Runny Nose,Confusion,Dizziness,Loss of Smell,Low Blood Pressure,Sweating,Loss of Taste,Unknown
Sweating,Dizziness,Skin Redness,Sore Throat,Joint Pain,Diarrhea,Loss of Smell,Hypertension
Skin Peeling,Chest Pain,Sweating,Diarrhea,Nausea,Rapid Heart Rate,Shortness of Breath,Unknown
Headache,Blurred Vision,Chills,Weakness,Loss of Appetite,Chest Pain,Loss of Taste,Unknown
Rapid Heart Rate,Dizziness,Chest Pain,Loss of Appetite,Chills,Loss of Taste,Skin Peeling,COVID-19
Low Blood Pressure,Headache,Sweating,Nausea,Fatigue,Skin Redness,Shortness of Breath,COVID-19
Rash,Loss of Appetite,Fatigue,Sweating,Swollen Lymph Nodes,Diarrhea,Chest Pain,Unknown
Chills,Muscle Pain,Confusion,Chest Pain,Rapid Heart Rate,Joint Pain,Skin Peeling,Unknown
Dizziness,Chills,Runny Nose,Blurred Vision,Rapid Heart Rate,Skin Peeling,Fatigue,Flu
Blurred Vision,Chills,Swollen Lymph Nodes,Weakness,Fever,High Blood Pressure,Loss of Smell,Unknown
Cough,Vomiting,Nausea,Loss of Appetite,Swollen Lymph Nodes,Low Blood Pressure,Shortness of Breath,Pneumonia
High Blood Pressure,Vomiting,Rash,Fatigue,Low Blood Pressure,Headache,Skin Redness,Unknown
Swollen Lymph Nodes,Loss of Appetite,Fatigue,Chills,Muscle Pain,Confusion,Cough,Dengue
Rash,Runny Nose,Loss of Appetite,Rapid Heart Rate,Diarrhea,Ear Pain,High Blood Pressure,Unknown
Ear Pain,Diarrhea,Weakness,Abdominal Pain,Nausea,Loss of Appetite,Loss of Taste,Unknown
Diarrhea,Abdominal Pain,Muscle Pain,High Blood Pressure,Rapid Heart Rate,Runny Nose,Confusion,Unknown
Joint Pain,Cough,Diarrhea,Sore Throat,Loss of Smell,Chest Pain,Blurred Vision,Scarlet Fever
Skin Redness,Vomiting,Loss of Smell,Dizziness,Difficulty Swallowing,Chills,Joint Pain,Strep Throat
Runny Nose,Ear Pain,Chest Pain,Shortness of Breath,Swollen Lymph Nodes,Blurred Vision,Vomiting,COVID-19
Rash,Loss of Smell,Nausea,Swollen Lymph Nodes,Cough,Fatigue,Difficulty Swallowing,COVID-19
Loss of Appetite,Abdominal Pain,Joint Pain,Muscle Pain,Chills,Weakness,Difficulty Swallowing,Ear Infection
Rapid Heart Rate,Confusion,Chest Pain,Muscle Pain,Headache,Swollen Lymph Nodes,Difficulty Swallowing,Ear Infection
Confusion,Headache,Difficulty Swallowing,Blurred Vision,Sore Throat,Swollen Lymph Nodes,Nausea,Meningitis
Fever,Loss of Smell,Rash,Muscle Pain,Loss of Appetite,Rapid Heart Rate,Confusion,COVID-19
High Blood Pressure,Loss of Appetite,Shortness of Breath,Difficulty Swallowing,Loss of Taste,Diarrhea,Fever,Meningitis
Joint Pain,Abdominal Pain,Ear Pain,Rash,Loss of Appetite,Dizziness,Diarrhea,Hypertension
Skin Redness,Vomiting,Rash,Weakness,Shortness of Breath,Difficulty Swallowing,Blurred Vision,Pneumonia
Headache,High Blood Pressure,Loss of Smell,Vomiting,Difficulty Swallowing,Confusion,Fever,Ear Infection
Loss of Smell,Cough,Chest Pain,Fatigue,Abdominal Pain,Rapid Heart Rate,Loss of Appetite,Food Poisoning
Chills,Dizziness,Cough,Joint Pain,Runny Nose,Rash,Sweating,Unknown
Vomiting,Low Blood Pressure,Loss of Smell,Chest Pain,High Blood Pressure,Fatigue,Nausea,Meningitis
Skin Redness,Nausea,Loss of Taste,Fever,Chest Pain,Difficulty Swallowing,Cough,Dengue
Sore Throat,Swollen Lymph Nodes,Sweating,Headache,Runny Nose,Muscle Pain,Ear Pain,Unknown
Abdominal Pain,Low Blood Pressure,Diarrhea,Weakness,Fever,Headache,Confusion,Hypertension
Loss of Smell,Rash,Cough,Runny Nose,Low Blood Pressure,Muscle Pain,Joint Pain,Unknown
Confusion,Swollen Lymph Nodes,Chest Pain,Loss of Appetite,Fever,Cough,Rapid Heart Rate,Typhoid
Diarrhea,Loss of Appetite,Muscle Pain,Chest Pain,Shortness of Breath,Sweating,Swollen Lymph Nodes,Unknown
Loss of Appetite,Runny Nose,High Blood Pressure,Fatigue,Cough,Abdominal Pain,Loss of Smell,Pneumonia
Ear Pain,Dizziness,Low Blood Pressure,Chest Pain,Swollen Lymph Nodes,Sweating,Cough,Hypotension
Sweating,Low Blood Pressure,High Blood Pressure,Ear Pain,Weakness,Fatigue,Vomiting,Food Poisoning
Skin Redness,Confusion,Loss of Appetite,Rash,Fever,Low Blood Pressure,Weakness,Flu
Fatigue,Dizziness,Runny Nose,Joint Pain,Swollen Lymph Nodes,Chest Pain,Rapid Heart Rate,Dengue
Fever,Fatigue,Headache,Nausea,Shortness of Breath,Sweating,High Blood Pressure,Malaria
Runny Nose,Blurred Vision,Weakness,Loss of Smell,Fatigue,Swollen Lymph Nodes,Skin Peeling,Flu
Difficulty Swallowing,Rash,Diarrhea,Dizziness,Rapid Heart Rate,Muscle Pain,Fever,Scarlet Fever
Fatigue,Shortness of Breath,High Blood Pressure,Muscle Pain,Weakness,Cough,Sweating,Hypotension
Skin Peeling,Ear Pain,Low Blood Pressure,Diarrhea,Rapid Heart Rate,Loss of Taste,Cough,Unknown
Sweating,Cough,Diarrhea,Skin Redness,Fatigue,Loss of Taste,Skin Peeling,Typhoid
Headache,Nausea,Joint Pain,Chills,Weakness,Low Blood Pressure,Confusion,Unknown
Rash,Vomiting,Loss of Taste,Abdominal Pain,Sore Throat,Chills,Cough,Typhoid
Fever,Loss of Taste,Ear Pain,Abdominal Pain,Skin Peeling,Weakness,Chills,Typhoid
Rapid Heart Rate,Nausea,Fatigue,Swollen Lymph Nodes,Dizziness,Joint Pain,Vomiting,Typhoid
Muscle Pain,Loss of Smell,Low Blood Pressure,Runny Nose,Blurred Vision,Loss of Taste,Rapid Heart Rate,Unknown
Cough,Sweating,High Blood Pressure,Runny Nose,Diarrhea,Fever,Abdominal Pain,Dengue
Chills,High Blood Pressure,Vomiting,Abdominal Pain,Sore Throat,Fever,Loss of Appetite,Food Poisoning
Shortness of Breath,Low Blood Pressure,Ear Pain,Skin Redness,Muscle Pain,Cough,Headache,Unknown
Runny Nose,Chest Pain,Rash,Blurred Vision,Vomiting,Sore Throat,Chills,Food Poisoning
Headache,Cough,Chills,Blurred Vision,Dizziness,Nausea,Vomiting,Food Poisoning
Sweating,Vomiting,Skin Redness,Loss of Appetite,Blurred Vision,High Blood Pressure,Runny Nose,Unknown
Muscle Pain,Loss of Appetite,Headache,Runny Nose,Fever,Loss of Taste,Low Blood Pressure,Migraine
Sore Throat,High Blood Pressure,Nausea,Confusion,Rash,Skin Redness,Headache,Meningitis
Sore Throat,Rash,Headache,High Blood Pressure,Runny Nose,Skin Redness,Loss of Taste,Flu
Weakness,Chest Pain,Fatigue,Skin Redness,Chills,Loss of Smell,Sweating,Hypertension
Abdominal Pain,Cough,Sore Throat,Runny Nose,Loss of Appetite,Nausea,Low Blood Pressure,Unknown
Ear Pain,Chills,Loss of Taste,Diarrhea,Weakness,Swollen Lymph Nodes,Rapid Heart Rate,Unknown
Fever,Blurred Vision,Chest Pain,Abdominal Pain,Muscle Pain,Shortness of Breath,Joint Pain,Migraine
Fever,Cough,Loss of Smell,Low Blood Pressure,Confusion,Sore Throat,Loss of Appetite,Unknown
Vomiting,Weakness,Runny Nose,Fever,Nausea,Dizziness,Skin Peeling,Typhoid
Cough,Dizziness,Runny Nose,Loss of Taste,Loss of Smell,Loss of Appetite,Confusion,Migraine
Dizziness,High Blood Pressure,Vomiting,Sweating,Blurred Vision,Muscle Pain,Rapid Heart Rate,Dengue
Sore Throat,Joint Pain,Loss of Taste,Headache,Chills,Fever,Blurred Vision,Unknown
Loss of Taste,Vomiting,Fever,Skin Redness,Abdominal Pain,Difficulty Swallowing,Rash,Unknown
Skin Redness,Joint Pain,Cough,Dizziness,High Blood Pressure,Fever,Rash,COVID-19
Joint Pain,High Blood Pressure,Loss of Taste,Low Blood Pressure,Blurred Vision,Nausea,Rapid Heart Rate,Hypotension
Runny Nose,High Blood Pressure,Chest Pain,Rapid Heart Rate,Abdominal Pain,Fatigue,Loss of Taste,Cold
Headache,Rash,Dizziness,Abdominal Pain,Cough,Shortness of Breath,Rapid Heart Rate,Pneumonia
Difficulty Swallowing,Loss of Taste,Headache,Loss of Smell,Cough,Skin Redness,Joint Pain,Scarlet Fever
Loss of Smell,Loss of Taste,Vomiting,Sore Throat,Chills,Low Blood Pressure,Diarrhea,Unknown
Abdominal Pain,Loss of Appetite,Low Blood Pressure,Fever,Nausea,Rash,Skin Peeling,Food Poisoning
Skin Peeling,Abdominal Pain,Swollen Lymph Nodes,Skin Redness,Weakness,Sweating,Fatigue,Flu
Rapid Heart Rate,Fatigue,Nausea,Rash,Difficulty Swallowing,Diarrhea,Sweating,Strep Throat
Vomiting,Sweating,Rapid Heart Rate,Loss of Smell,Cough,Rash,Dizziness,Malaria
Rash,Dizziness,Difficulty Swallowing,Loss of Taste,Confusion,Cough,Weakness,Unknown
Shortness of Breath,Swollen Lymph Nodes,Rapid Heart Rate,Dizziness,Chest Pain,Confusion,Difficulty Swallowing,Migraine
Cough,Rash,Loss of Taste,High Blood Pressure,Runny Nose,Loss of Appetite,Sweating,Unknown
Diarrhea,Fever,Loss of Taste,Chest Pain,Confusion,Swollen Lymph Nodes,Abdominal Pain,Typhoid
Skin Redness,Chest Pain,Rash,Ear Pain,Loss of Taste,Loss of Appetite,Runny Nose,Typhoid
Difficulty Swallowing,Fatigue,High Blood Pressure,Vomiting,Low Blood Pressure,Rapid Heart Rate,Confusion,Ear Infection
Cough,Loss of Appetite,Dizziness,Skin Peeling,Fatigue,Sweating,Confusion,Flu
Loss of Taste,Shortness of Breath,Fatigue,Vomiting,Difficulty Swallowing,Blurred Vision,Rapid Heart Rate,Unknown
Muscle Pain,Low Blood Pressure,High Blood Pressure,Skin Peeling,Joint Pain,Nausea,Confusion,Unknown
Shortness of Breath,Loss of Taste,Chest Pain,Joint Pain,Loss of Appetite,High Blood Pressure,Muscle Pain,Pneumonia
Chest Pain,Ear Pain,Sore Throat,Diarrhea,Difficulty Swallowing,Loss of Taste,Swollen Lymph Nodes,Strep Throat
Chest Pain,Rapid Heart Rate,Shortness of Breath,Ear Pain,Weakness,Vomiting,High Blood Pressure,Food Poisoning
Cough,Nausea,Dizziness,Weakness,Difficulty Swallowing,Muscle Pain,Sweating,Food Poisoning
Rash,Headache,Confusion,Skin Peeling,Muscle Pain,Runny Nose,Chest Pain,Unknown
Runny Nose,Headache,Low Blood Pressure,Chills,Difficulty Swallowing,Rapid Heart Rate,Loss of Smell,Hypertension
Runny Nose,Diarrhea,Skin Redness,Chest Pain,Fever,Nausea,Difficulty Swallowing,Cold
Difficulty Swallowing,Diarrhea,Weakness,Swollen Lymph Nodes,Abdominal Pain,High Blood Pressure,Skin Redness,Unknown
Headache,Rash,Chills,Confusion,High Blood Pressure,Ear Pain,Nausea,Unknown
Sweating,Weakness,Loss of Taste,Vomiting,Muscle Pain,Skin Redness,Cough,Hypotension
Sore Throat,Joint Pain,Fever,Abdominal Pain,Ear Pain,Rash,High Blood Pressure,Strep Throat
Difficulty Swallowing,Skin Redness,Runny Nose,Skin Peeling,Rapid Heart Rate,Sore Throat,Diarrhea,Unknown
Fever,Ear Pain,Swollen Lymph Nodes,Headache,Shortness of Breath,Skin Peeling,Runny Nose,Cold
Joint Pain,Rash,Cough,Shortness of Breath,Swollen Lymph Nodes,Headache,Loss of Smell,Unknown
Skin Peeling,Rapid Heart Rate,Loss of Taste,Low Blood Pressure,Diarrhea,Rash,Sore Throat,Unknown
Fatigue,Sweating,Joint Pain,Nausea,Low Blood Pressure,Cough,Fever,Ear Infection
Headache,Difficulty Swallowing,Blurred Vision,Skin Peeling,Chest Pain,Shortness of Breath,Diarrhea,Scarlet Fever
Loss of Smell,Sore Throat,Difficulty Swallowing,Runny Nose,Loss of Appetite,Muscle Pain,Rash,Unknown
Rash,Shortness of Breath,Cough,Headache,Chest Pain,Loss of Appetite,Blurred Vision,Hypertension
Joint Pain,High Blood Pressure,Sweating,Cough,Loss of Appetite,Chills,Skin Peeling,Unknown
Fatigue,Blurred Vision,Confusion,Loss of Taste,Ear Pain,Swollen Lymph Nodes,Dizziness,Unknown
Headache,Dizziness,Rash,Skin Peeling,Nausea,Cough,Ear Pain,Unknown
Skin Peeling,Fever,Diarrhea,Loss of Appetite,Difficulty Swallowing,Rash,Fatigue,Strep Throat
Weakness,Vomiting,Chills,Skin Redness,Nausea,Joint Pain,Fever,Meningitis
Cough,Sore Throat,Difficulty Swallowing,Weakness,Rapid Heart Rate,Loss of Smell,Confusion,Flu
Chills,Diarrhea,Dizziness,Rash,Fatigue,Runny Nose,Swollen Lymph Nodes,Cold
Fever,High Blood Pressure,Nausea,Sore Throat,Chest Pain,Rapid Heart Rate,Shortness of Breath,Malaria
Loss of Smell,Chills,Ear Pain,Weakness,Swollen Lymph Nodes,Difficulty Swallowing,Low Blood Pressure,Hypotension
Diarrhea,Sweating,Swollen Lymph Nodes,Loss of Appetite,Muscle Pain,Loss of Taste,Vomiting,Unknown
Fatigue,Swollen Lymph Nodes,Skin Redness,Abdominal Pain,Diarrhea,Weakness,Ear Pain,Flu
Blurred Vision,Shortness of Breath,Nausea,Cough,Runny Nose,Fever,Fatigue,Strep Throat
Confusion,Difficulty Swallowing,Cough,Sore Throat,Loss of Appetite,Chest Pain,Joint Pain,Typhoid
Skin Peeling,Dizziness,Fever,Confusion,Difficulty Swallowing,Abdominal Pain,Rapid Heart Rate,Typhoid
Joint Pain,Skin Peeling,Abdominal Pain,High Blood Pressure,Diarrhea,Headache,Low Blood Pressure,Unknown
High Blood Pressure,Nausea,Joint Pain,Dizziness,Confusion,Rapid Heart Rate,Chills,Meningitis
Joint Pain,Chills,Runny Nose,Diarrhea,Rapid Heart Rate,Vomiting,Swollen Lymph Nodes,Unknown
Cough,Chills,Nausea,Headache,Rash,Dizziness,Fever,Typhoid
High Blood Pressure,Low Blood Pressure,Runny Nose,Skin Peeling,Shortness of Breath,Loss of Appetite,Abdominal Pain,Typhoid
Loss of Smell,Diarrhea,Sweating,Muscle Pain,Low Blood Pressure,Fatigue,Swollen Lymph Nodes,Cold
Vomiting,Dizziness,Chills,Diarrhea,Loss of Taste,Shortness of Breath,Muscle Pain,Malaria
Abdominal Pain,Dizziness,Cough,Muscle Pain,Swollen Lymph Nodes,Diarrhea,Chest Pain,Food Poisoning
Nausea,Ear Pain,Shortness of Breath,Vomiting,Skin Redness,Muscle Pain,Rash,Pneumonia
Abdominal Pain,Chest Pain,Sore Throat,Dizziness,Diarrhea,Swollen Lymph Nodes,Runny Nose,Strep Throat
Skin Redness,Vomiting,Diarrhea,Rapid Heart Rate,Abdominal Pain,Low Blood Pressure,Fatigue,Unknown
Nausea,Ear Pain,Dizziness,Joint Pain,Rapid Heart Rate,Abdominal Pain,Loss of Smell,Typhoid
Rash,Vomiting,Cough,Weakness,Dizziness,Difficulty Swallowing,Chills,COVID-19
Chest Pain,Shortness of Breath,Diarrhea,Difficulty Swallowing,Loss of Smell,Blurred Vision,High Blood Pressure,Pneumonia
Chest Pain,Rapid Heart Rate,Headache,Skin Redness,Swollen Lymph Nodes,Runny Nose,Difficulty Swallowing,Flu
Vomiting,Loss of Taste,Blurred Vision,Dizziness,Skin Peeling,High Blood Pressure,Shortness of Breath,Migraine
Chest Pain,Difficulty Swallowing,Cough,Fatigue,Shortness of Breath,Runny Nose,Diarrhea,Typhoid
Weakness,Vomiting,Dizziness,Muscle Pain,Fatigue,Loss of Appetite,Difficulty Swallowing,Unknown
Loss of Taste,Rash,Loss of Appetite,Cough,Rapid Heart Rate,Skin Peeling,Chills,COVID-19
Nausea,Joint Pain,Vomiting,Runny Nose,Confusion,Loss of Appetite,Skin Peeling,Unknown
Loss of Taste,Skin Redness,Chills,Swollen Lymph Nodes,Fatigue,Vomiting,Dizziness,Unknown
Difficulty Swallowing,Fatigue,Dizziness,Sore Throat,Blurred Vision,Skin Redness,Ear Pain,Hypertension
Loss of Appetite,Chills,Skin Redness,High Blood Pressure,Fatigue,Sore Throat,Difficulty Swallowing,Unknown
Difficulty Swallowing,Skin Redness,Joint Pain,Swollen Lymph Nodes,Weakness,Chest Pain,Chills,Typhoid
Joint Pain,Dizziness,Skin Peeling,Ear Pain,Difficulty Swallowing,Fever,Weakness,Unknown
Chills,Vomiting,Confusion,Rapid Heart Rate,Ear Pain,High Blood Pressure,Skin Redness,Unknown
Diarrhea,Chills,Blurred Vision,High Blood Pressure,Nausea,Runny Nose,Shortness of Breath,Unknown
Fever,Skin Peeling,Cough,Nausea,Vomiting,Sore Throat,Muscle Pain,Migraine
Skin Redness,Abdominal Pain,Loss of Smell,Confusion,Swollen Lymph Nodes,Chest Pain,Cough,Unknown
Loss of Taste,Weakness,Cough,Fever,Chest Pain,High Blood Pressure,Fatigue,Scarlet Fever
Fatigue,Shortness of Breath,Cough,Runny Nose,Vomiting,Chest Pain,Dizziness,Flu
High Blood Pressure,Sore Throat,Sweating,Nausea,Abdominal Pain,Dizziness,Muscle Pain,Typhoid
Ear Pain,Rash,Skin Redness,Difficulty Swallowing,Sore Throat,Dizziness,Sweating,Cold
Difficulty Swallowing,Dizziness,Swollen Lymph Nodes,Skin Peeling,Sore Throat,Loss of Smell,Shortness of Breath,Unknown
Headache,Sore Throat,Sweating,Runny Nose,Loss of Smell,Blurred Vision,Ear Pain,Unknown
Shortness of Breath,Fever,Low Blood Pressure,Sweating,Loss of Taste,Loss of Smell,Abdominal Pain,Flu
Runny Nose,Chills,Loss of Taste,Diarrhea,Low Blood Pressure,Dizziness,High Blood Pressure,Unknown
Blurred Vision,Diarrhea,Loss of Smell,Loss of Appetite,Fatigue,Sweating,Nausea,Flu
Sweating,Joint Pain,Loss of Appetite,Skin Redness,Loss of Taste,Nausea,High Blood Pressure,COVID-19
Chest Pain,Rapid Heart Rate,Loss of Taste,Vomiting,Diarrhea,Headache,Abdominal Pain,Dengue
Abdominal Pain,Headache,Muscle Pain,Weakness,Confusion,Chest Pain,Difficulty Swallowing,Strep Throat
Low Blood Pressure,Confusion,Weakness,Chills,Sore Throat,Blurred Vision,Difficulty Swallowing,Unknown
Sweating,Difficulty Swallowing,Vomiting,Weakness,Low Blood Pressure,Diarrhea,Blurred Vision,Migraine
Low Blood Pressure,Loss of Smell,Cough,Confusion,Dizziness,High Blood Pressure,Abdominal Pain,Unknown
Difficulty Swallowing,Dizziness,Rapid Heart Rate,Loss of Taste,Swollen Lymph Nodes,Chills,Skin Redness,Strep Throat
Shortness of Breath,Diarrhea,Rapid Heart Rate,Blurred Vision,Weakness,Dizziness,Loss of Smell,Food Poisoning
Skin Redness,Loss of Appetite,Swollen Lymph Nodes,Fever,Ear Pain,Rash,Nausea,Pneumonia
Nausea,High Blood Pressure,Dizziness,Skin Peeling,Difficulty Swallowing,Vomiting,Sore Throat,Unknown
Skin Redness,Weakness,Headache,Low Blood Pressure,Dizziness,Loss of Appetite,Muscle Pain,Flu
Nausea,High Blood Pressure,Sweating,Skin Peeling,Runny Nose,Difficulty Swallowing,Blurred Vision,Unknown
Rapid Heart Rate,High Blood Pressure,Muscle Pain,Vomiting,Shortness of Breath,Skin Redness,Cough,Unknown
Cough,Rapid Heart Rate,Fever,Muscle Pain,Nausea,Chest Pain,Blurred Vision,Strep Throat
Loss of Appetite,Muscle Pain,Skin Redness,Rapid Heart Rate,Sore Throat,Ear Pain,Runny Nose,Unknown
Chest Pain,Sweating,Joint Pain,Rapid Heart Rate,Confusion,Cough,Dizziness,Hypertension
Chills,Blurred Vision,Vomiting,Weakness,Confusion,High Blood Pressure,Chest Pain,Unknown
High Blood Pressure,Abdominal Pain,Rash,Vomiting,Loss of Appetite,Fever,Loss of Smell,Unknown
Diarrhea,Blurred Vision,Loss of Appetite,Muscle Pain,Runny Nose,Rash,Fatigue,Unknown
Weakness,High Blood Pressure,Cough,Skin Redness,Chills,Dizziness,Runny Nose,Typhoid
High Blood Pressure,Loss of Appetite,Confusion,Abdominal Pain,Swollen Lymph Nodes,Vomiting,Nausea,Unknown
Shortness of Breath,Muscle Pain,Nausea,Chest Pain,Low Blood Pressure,Joint Pain,Fatigue,Unknown
Nausea,Chest Pain,Fatigue,Loss of Smell,Dizziness,Sweating,Skin Peeling,Unknown
Headache,Diarrhea,Fatigue,Ear Pain,Sore Throat,Muscle Pain,Shortness of Breath,Strep Throat
Vomiting,Cough,Sore Throat,Muscle Pain,Difficulty Swallowing,Fever,Low Blood Pressure,Meningitis
Diarrhea,Joint Pain,Cough,High Blood Pressure,Chills,Low Blood Pressure,Swollen Lymph Nodes,Strep Throat
Shortness of Breath,Loss of Smell,Confusion,Abdominal Pain,Diarrhea,Rash,Sore Throat,Cold
Low Blood Pressure,Weakness,Vomiting,Loss of Taste,Shortness of Breath,Rash,Runny Nose,Unknown
Skin Redness,Diarrhea,Sore Throat,Loss of Taste,Loss of Smell,Difficulty Swallowing,Joint Pain,Food Poisoning
Ear Pain,Difficulty Swallowing,Skin Peeling,Fatigue,Loss of Smell,Fever,Headache,Meningitis
Loss of Smell,Muscle Pain,Fatigue,Swollen Lymph Nodes,Joint Pain,Rapid Heart Rate,Ear Pain,Ear Infection
Chills,Diarrhea,Loss of Appetite,Headache,Joint Pain,Sweating,Vomiting,Migraine
Rapid Heart Rate,Sweating,Loss of Taste,Difficulty Swallowing,Swollen Lymph Nodes,Joint Pain,Muscle Pain,Unknown
Low Blood Pressure,Shortness of Breath,Dizziness,Loss of Taste,Skin Redness,High Blood Pressure,Weakness,Migraine
Dizziness,Vomiting,Abdominal Pain,Sore Throat,Chills,Difficulty Swallowing,Ear Pain,Migraine
Rapid Heart Rate,Weakness,Loss of Smell,Skin Redness,Headache,Chest Pain,Nausea,Flu
